"","scntfcN","dcmlLtt","dcmlLng","class","order","stratgy","temp_mean","temp_var","temp_autocor","ppt_mean","ppt_var","ppt_autocor","prop_drought","ECO_NAME","BIOME","ECO_ID","ECO_SYM","biome_name"
"23","Corallorhiza odontorhiza (Willdenow) Poiret",39.176078,-79.119372,"Liliopsida","Asparagales","complete",10.9119566242869,0.384964925046005,0.28408041285042,910.756913347942,29311.466996076,-0.000423850669504758,0.025,"Appalachian-Blue Ridge forests",4,50403,61,"Temperate Broadleaf & Mixed Forests"
"24","Corallorhiza odontorhiza var. odontorhiza",35.206478,-83.762397,"Liliopsida","Asparagales","complete",12.3634248593958,0.429660177157659,0.442382369002369,1688.07186070884,97242.7210026868,-0.000533589992140839,0.025,"Appalachian-Blue Ridge forests",4,50403,61,"Temperate Broadleaf & Mixed Forests"
"25","Corallorhiza odontorhiza (Willdenow) Poiret",38.790143,-77.848937,"Liliopsida","Asparagales","complete",12.3017443912785,0.382048244986601,0.259191048759333,1126.18341511052,35755.9411296972,-0.000660298980313169,0.025,"Southeastern mixed forests",4,50413,70,"Temperate Broadleaf & Mixed Forests"
"26","Corallorhiza odontorhiza (Willdenow) Poiret",38.919577,-78.381753,"Liliopsida","Asparagales","complete",11.3596004393043,0.398232957529947,0.310539961660419,1006.6642128549,29344.1343646187,-0.000609100501094726,0.025,"Appalachian-Blue Ridge forests",4,50403,61,"Temperate Broadleaf & Mixed Forests"
"27","Corallorhiza odontorhiza (Willdenow) Poiret",39.80216,-81.349978,"Liliopsida","Asparagales","complete",10.8138346090549,0.476660967606542,0.316458122035934,1081.47381145198,37078.5283732438,-0.000106498237241643,0.025,"Appalachian mixed mesophytic forests",4,50402,74,"Temperate Broadleaf & Mixed Forests"
"28","Plantago argyraea E.Morris",36.27866,-106.947593,"Magnoliopsida","Lamiales","complete",7.53099542710839,0.351270493905374,0.273569745966446,385.648019558046,5743.63359052928,-0.00137305907455809,0.975,"Colorado Rockies forests",5,50511,65,"Temperate Conifer Forests"
"29","Plantago argyraea E.Morris",34.631746,-111.233049,"Magnoliopsida","Lamiales","complete",9.08877598367086,0.410164946452173,0.312358355403353,519.334294016768,13184.4715703026,0.00035461320747584,0.475,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"30","Plantago argyrea Morris",34.513024,-111.362287,"Magnoliopsida","Lamiales","complete",9.39597848566567,0.723914760536541,0.629080169363155,735.177481302401,36002.627690772,-0.000303037322461225,0.125,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"31","Plantago argyrea Morris",34.513024,-111.362287,"Magnoliopsida","Lamiales","complete",9.39597848566567,0.723914760536541,0.629080169363155,735.177481302401,36002.627690772,-0.000303037322461225,0.125,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"32","Plantago argyrea Morris",36.819454,-111.804491,"Magnoliopsida","Lamiales","complete",11.5903322405932,0.439759115182395,0.264870124743093,279.614056657,5745.1296712256,7.45957505404794e-05,1.075,"Colorado Plateau shrublands",13,51304,107,"Deserts & Xeric Shrublands"
"33","Plantago argyrea Morris",35.903259,-111.895635,"Magnoliopsida","Lamiales","complete",8.85145647932843,0.308513391492709,0.182170551381275,404.850048902558,10131.2169179608,0.000684465469816712,0.85,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"34","Plantago argyrea Morris",35.903259,-111.895635,"Magnoliopsida","Lamiales","complete",8.85145647932843,0.308513391492709,0.182170551381275,404.850048902558,10131.2169179608,0.000684465469816712,0.85,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"35","Plantago argyraea E.Morris",34.282423,-110.807334,"Magnoliopsida","Lamiales","complete",10.1003492867074,0.466424648433095,0.464294768191765,705.68928788348,30298.2129378537,-0.000367828155735926,0.125,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"36","Plantago argyrea Morris",35.382083,-111.582306,"Magnoliopsida","Lamiales","complete",7.33720279321438,0.411517148220913,0.408132005355421,482.187823784061,13876.4326570314,0.000142244359413875,0.6,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"37","Plantago argyraea E.Morris",34.2584546,-110.2862408,"Magnoliopsida","Lamiales","complete",10.3384760879889,0.602747832660038,0.550150978851545,492.731096221179,10687.6707945231,0.000302822717335889,0.525,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"38","Plantago argyrea Morris",35.954139,-111.950167,"Magnoliopsida","Lamiales","complete",8.63034671690406,0.741574674124708,0.580217112635842,494.871264201839,17831.7818343259,0.000295895185006113,0.5,"Colorado Plateau shrublands",13,51304,107,"Deserts & Xeric Shrublands"
"39","Plantago argyraea E.Morris",34.3747298,-110.5680997,"Magnoliopsida","Lamiales","complete",9.75102233886718,0.304105788277904,0.245053609385288,435.023070916897,8403.13866528481,-0.000269557481098754,0.775,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"40","Plantago argyrea Morris",35.973833,-111.947278,"Magnoliopsida","Lamiales","complete",8.63034671690406,0.741574674124708,0.580217112635842,494.871264201839,17831.7818343259,0.000295895185006113,0.5,"Colorado Plateau shrublands",13,51304,107,"Deserts & Xeric Shrublands"
"41","Plantago argyrea Morris",35.973833,-111.947278,"Magnoliopsida","Lamiales","complete",8.63034671690406,0.741574674124708,0.580217112635842,494.871264201839,17831.7818343259,0.000295895185006113,0.5,"Colorado Plateau shrublands",13,51304,107,"Deserts & Xeric Shrublands"
"42","Plantago argyrea Morris",35.91716,-111.90694,"Magnoliopsida","Lamiales","complete",7.93712477567719,0.273554524390236,0.0126704088128702,484.924521097323,16614.0931394018,0.000345613221473245,0.55,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"43","Plantago argyraea E.Morris",33.67451,-109.01572,"Magnoliopsida","Lamiales","complete",9.87879311166158,0.92839406794836,0.628180501777285,523.465023878144,12671.3278309274,0.000690350458809276,0.375,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"44","Plantago argyraea E.Morris",35.266467,-108.1887,"Magnoliopsida","Lamiales","complete",8.04019784927368,0.359175053364061,0.314211612776549,463.495702976134,10920.6866948311,0.00105280741595621,0.7,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"45","Plantago argyraea E.Morris",33.53168,-108.52424,"Magnoliopsida","Lamiales","complete",9.06991985367566,0.731963783088935,0.678527969999744,589.045186112567,16153.0372833718,0.000513281016430695,0.3,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"46","Plantago argyraea E.Morris",35.0408154,-102.3406834,"Magnoliopsida","Lamiales","complete",13.6291225014663,0.317378763621705,0.240915388680627,499.646811508551,21027.4986721325,-0.000258733238483648,0.625,"Western short grasslands",8,50815,220,"Temperate Grasslands, Savannas & Shrublands"
"47","Plantago argyraea E.Morris",33.9218,-109.129,"Magnoliopsida","Lamiales","complete",5.49753439135668,0.83439941724034,0.724064449134481,623.127305937977,19074.5434992247,0.00046366285594623,0.225,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"48","Plantago argyraea E.Morris",33.9218,-109.129,"Magnoliopsida","Lamiales","complete",5.49753439135668,0.83439941724034,0.724064449134481,623.127305937977,19074.5434992247,0.00046366285594623,0.225,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"49","Plantago argyraea E.Morris",34.239333,-110.259417,"Magnoliopsida","Lamiales","complete",10.2544345855713,0.497348586327372,0.469487996790936,458.992765100991,9455.99217055381,0.000343961994431855,0.675,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"50","Plantago argyrea Morris",34.239333,-110.259417,"Magnoliopsida","Lamiales","complete",10.2544345855713,0.497348586327372,0.469487996790936,458.992765100991,9455.99217055381,0.000343961994431855,0.675,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"51","Plantago argyraea E.Morris",35.1636,-112.1601,"Magnoliopsida","Lamiales","complete",9.73291997211735,0.582450651863981,0.555559394851781,619.821507895865,30260.7933052489,-0.000441849077384105,0.325,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"52","Plantago argyraea E.Morris",34.883545,-107.996828,"Magnoliopsida","Lamiales","complete",9.01575888656988,0.234219833763012,0.0673141603190962,287.913334544112,2279.15870635952,0.0013449471140498,1.075,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"53","Plantago argyraea E.Morris",35.42679,-112.0654,"Magnoliopsida","Lamiales","complete",9.61634915049483,0.41110531431429,0.453659114322405,525.622380326434,15697.7229259957,-0.000448937239098652,0.475,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"54","Plantago argyraea E.Morris",35.59321,-111.80312,"Magnoliopsida","Lamiales","complete",10.374163860228,0.396261005932539,0.369319434777727,377.632237504168,6983.99891517526,-2.9370554067836e-05,1,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"55","Plantago argyraea E.Morris",35.5093106,-111.7685203,"Magnoliopsida","Lamiales","complete",7.83663936940635,0.411141735780012,0.422450148037286,483.720371897628,11968.5525573171,-4.64756928534646e-05,0.55,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"56","Plantago argyraea E.Morris",35.4851196,-112.0124861,"Magnoliopsida","Lamiales","complete",8.96114188868825,0.457496022537652,0.510138740012139,515.309801055164,14487.9028355336,-0.000338900481269385,0.475,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"57","Plantago argyraea E.Morris",34.958653,-108.017838,"Magnoliopsida","Lamiales","complete",8.9363344936836,0.236600711259015,0.0463936386447952,289.142959594727,2336.80514571391,0.00252035761159682,1.075,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"58","Plantago argyraea E.Morris",35.40149,-111.56538,"Magnoliopsida","Lamiales","complete",8.82955160373595,0.354621727479565,0.3069350960984,414.62035165182,9511.59526844641,0.000169636992966066,0.9,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"59","Plantago argyraea E.Morris",34.609,-110.8802,"Magnoliopsida","Lamiales","complete",10.3166223851646,0.343646434984289,0.279392529186808,420.562377185356,7307.82871918741,0.000889406776820528,0.85,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"60","Plantago argyraea E.Morris",34.251867,-110.858617,"Magnoliopsida","Lamiales","complete",10.8755613420068,0.656238747882286,0.591816324852503,785.599048149295,39314.8850561083,-0.000353644884946192,0.075,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"61","Plantago argyraea E.Morris",34.2519,-110.859,"Magnoliopsida","Lamiales","complete",10.8755613420068,0.656238747882286,0.591816324852503,785.599048149295,39314.8850561083,-0.000353644884946192,0.075,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"62","Plantago argyraea E.Morris",35.055556,-111.843056,"Magnoliopsida","Lamiales","complete",9.38042717445188,0.538553896510909,0.510224016057171,675.431645090987,32150.5809007302,-0.000592131499810001,0.175,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"63","Plantago argyraea E.Morris",35.88592,-106.72443,"Magnoliopsida","Lamiales","complete",7.14532709121704,0.846604145967217,0.729897449325667,546.973655142435,11576.6963666183,0.000745040584581149,0.35,"Colorado Rockies forests",5,50511,65,"Temperate Conifer Forests"
"64","Plantago argyraea E.Morris",36.041,-107.084,"Magnoliopsida","Lamiales","complete",8.23063449161809,0.46029937763384,0.495294781863963,333.884484267816,4406.18089895424,-0.00205338665425227,1.05,"Colorado Plateau shrublands",13,51304,107,"Deserts & Xeric Shrublands"
"65","Plantago argyraea E.Morris",36.21096,-109.35578,"Magnoliopsida","Lamiales","complete",10.6971711879823,0.532317766179964,0.479453050889328,257.174031513493,4837.10769071524,0.000688893298860448,1.075,"Colorado Plateau shrublands",13,51304,107,"Deserts & Xeric Shrublands"
"66","Plantago argyrea Morris",34.4442,-110.840833,"Magnoliopsida","Lamiales","complete",9.63391750614818,0.35926797318691,0.297608728727493,492.648486253692,11300.4674690805,0.000391230907474692,0.475,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"67","Plantago argyraea E.Morris",35.0147,-111.859,"Magnoliopsida","Lamiales","complete",10.2136638455275,0.625338770126215,0.582230449223749,683.701466630145,33167.038538294,-0.000541065117140109,0.15,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"68","Plantago argyraea E.Morris",35.0156,-111.858,"Magnoliopsida","Lamiales","complete",10.2136638455275,0.625338770126215,0.582230449223749,683.701466630145,33167.038538294,-0.000541065117140109,0.15,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"69","Plantago argyrea Morris",34.608317,-111.200233,"Magnoliopsida","Lamiales","complete",9.16329553650647,0.408140630749653,0.30539331734566,497.004321958961,11826.2266504556,0.000500356910965341,0.525,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"70","Plantago argyrea Morris",35.877667,-111.880567,"Magnoliopsida","Lamiales","complete",7.78694906467345,0.299767686957946,0.204735528784863,454.951290223657,12457.8916206359,0.00056497477651242,0.65,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"71","Plantago argyraea E.Morris",35.014722,-111.858611,"Magnoliopsida","Lamiales","complete",10.2136638455275,0.625338770126215,0.582230449223749,683.701466630145,33167.038538294,-0.000541065117140109,0.15,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"72","Plantago argyraea E.Morris",35.0147,-111.859,"Magnoliopsida","Lamiales","complete",10.2136638455275,0.625338770126215,0.582230449223749,683.701466630145,33167.038538294,-0.000541065117140109,0.15,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"73","Plantago argyraea E.Morris",35.1,-111.617,"Magnoliopsida","Lamiales","complete",8.48060525335917,0.401837964143579,0.235728171940496,618.09119471108,24556.8506584132,-0.000435137111286331,0.25,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"74","Plantago argyrea Morris",36.650984,-110.431865,"Magnoliopsida","Lamiales","complete",11.2359711716815,0.439529006827848,0.393015565021648,273.385885099085,6095.13089687991,0.00128003354903813,1.075,"Colorado Plateau shrublands",13,51304,107,"Deserts & Xeric Shrublands"
"75","Plantago argyraea E.Morris",35.539236,-105.687722,"Magnoliopsida","Lamiales","complete",9.36611993138383,0.410506533289997,0.443008161001666,436.728796237852,7885.79519922987,7.82299155958323e-05,0.8,"Colorado Rockies forests",5,50511,65,"Temperate Conifer Forests"
"76","Plantago argyraea E.Morris",35.204959,-108.51727,"Magnoliopsida","Lamiales","complete",8.67610772063093,0.278409113070024,0.223523507030729,366.871565283799,5456.53289359657,0.00277157719061395,1.05,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"77","Plantago argyraea E.Morris",33.42894,-107.94753,"Magnoliopsida","Lamiales","complete",9.68948822486692,0.362693708741483,0.45606190274263,529.743824284251,11852.8076124178,0.000763971096131978,0.375,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"78","Plantago argyraea E.Morris",33.848,-109.073,"Magnoliopsida","Lamiales","complete",8.05111011644689,1.06591837857165,0.755327117072459,508.030376899533,10538.0310434516,0.000949564139754414,0.4,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"79","Plantago argyraea E.Morris",35.2621,-111.586,"Magnoliopsida","Lamiales","complete",7.80117348926823,0.462238965943709,0.463512672382465,559.505224832674,16617.1246064502,-0.000101982738023906,0.275,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"80","Plantago argyraea E.Morris",35.2326,-111.6218,"Magnoliopsida","Lamiales","complete",7.35340518486209,0.504867107092307,0.504762751229819,638.00155341916,22263.1261523467,-0.000212390924572299,0.175,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"81","Plantago argyraea E.Morris",34.905322,-107.935614,"Magnoliopsida","Lamiales","complete",9.62058341793898,0.221421289545798,0.0413424812528503,274.977514871737,2128.13077574228,-0.00072557102888642,1.075,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"82","Plantago argyraea E.Morris",34.879754,-108.211981,"Magnoliopsida","Lamiales","complete",8.17794910291346,0.269043508249301,0.163531936369773,355.797544898056,4345.39371880868,0.00407730452639124,1.075,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"83","Plantago argyraea E.Morris",33.408429,-107.910329,"Magnoliopsida","Lamiales","complete",9.66531265072706,0.432465402332999,0.477895846938358,547.732099579602,13615.8739394868,0.000647647505499968,0.325,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"84","Plantago argyraea E.Morris",33.413042,-107.925993,"Magnoliopsida","Lamiales","complete",9.66531265072706,0.432465402332999,0.477895846938358,547.732099579602,13615.8739394868,0.000647647505499968,0.325,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"85","Plantago argyraea E.Morris",33.204,-107.97,"Magnoliopsida","Lamiales","complete",10.4423028434195,0.461828822151379,0.434231577007363,583.529286454364,13111.1335950864,0.000282182054632575,0.25,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"86","Plantago argyraea E.Morris",35.201389,-109.428056,"Magnoliopsida","Lamiales","complete",11.5620566112239,0.269542429253821,0.315045973422761,236.455951969798,7297.51689632525,0.00269950724650932,1.075,"Colorado Plateau shrublands",13,51304,107,"Deserts & Xeric Shrublands"
"87","Plantago argyraea E.Morris",35.03904,-108.344095,"Magnoliopsida","Lamiales","complete",8.70537112398845,0.264135954951805,0.160706325676576,372.168101240949,5844.58348382596,0.00215142067083641,1,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"88","Plantago argyraea E.Morris",34.8682,-111.4982,"Magnoliopsida","Lamiales","complete",8.27023692247344,0.924156633012899,0.689332449177011,699.856414050591,35988.0556537376,-0.000579409987671555,0.175,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"89","Plantago argyraea E.Morris",35.909893,-109.028417,"Magnoliopsida","Lamiales","complete",8.99786867746493,0.316450599898713,0.22961764579645,324.486826826886,5334.81092723324,0.00279833816178284,1.075,"Colorado Plateau shrublands",13,51304,107,"Deserts & Xeric Shrublands"
"90","Plantago argyraea E.Morris",35.529992,-109.236077,"Magnoliopsida","Lamiales","complete",8.62389541253811,0.412449748107465,0.361474411682902,328.133464534108,5904.37155649972,0.00265222734058062,1.075,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"91","Plantago argyraea E.Morris",35.32087,-107.43338,"Magnoliopsida","Lamiales","complete",7.49267103613877,0.374281050836657,0.385811105976358,487.102198903153,11145.4191326248,0.000327430604725267,0.575,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"92","Plantago argyraea E.Morris",35.15,-107.46,"Magnoliopsida","Lamiales","complete",9.35676137412467,0.33968330353432,0.307616602113945,328.538781887147,4007.61042638834,0.00126849819992183,1.075,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"93","Plantago argyraea E.Morris",35.655663,-108.323227,"Magnoliopsida","Lamiales","complete",9.37273455829155,0.372844242208251,0.352637329552433,338.441224261028,3983.32960013323,0.0027387639542877,1.075,"Colorado Plateau shrublands",13,51304,107,"Deserts & Xeric Shrublands"
"94","Plantago argyraea E.Morris",34.295651,-107.906503,"Magnoliopsida","Lamiales","complete",8.55423449306953,0.361317272751654,0.332096732532306,428.158307331364,6865.8385240446,0.00217440302120465,0.825,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"95","Plantago argyraea E.Morris",35.656281,-108.537076,"Magnoliopsida","Lamiales","complete",9.58097355540206,0.305120959416187,0.226340537250425,321.322788889815,3695.61674941135,0.00239087013379782,1.075,"Colorado Plateau shrublands",13,51304,107,"Deserts & Xeric Shrublands"
"96","Plantago argyraea E.Morris",35.655663,-108.323227,"Magnoliopsida","Lamiales","complete",9.37273455829155,0.372844242208251,0.352637329552433,338.441224261028,3983.32960013323,0.0027387639542877,1.075,"Colorado Plateau shrublands",13,51304,107,"Deserts & Xeric Shrublands"
"97","Plantago argyraea E.Morris",34.398397,-107.838499,"Magnoliopsida","Lamiales","complete",9.75964185668201,0.2750340951369,0.195842892652384,319.08874995534,3128.86721151224,0.00172142725946874,1.075,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"98","Plantago argyraea E.Morris",34.311368,-107.349831,"Magnoliopsida","Lamiales","complete",10.7113711659501,0.361552706773364,0.286283300972897,357.873727193693,4227.52529837897,0.00410425216977705,1.05,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
"99","Plantago argyraea E.Morris",35.655663,-108.323227,"Magnoliopsida","Lamiales","complete",9.37273455829155,0.372844242208251,0.352637329552433,338.441224261028,3983.32960013323,0.0027387639542877,1.075,"Colorado Plateau shrublands",13,51304,107,"Deserts & Xeric Shrublands"
"100","Plantago argyraea E.Morris",35.682648,-109.226901,"Magnoliopsida","Lamiales","complete",8.41909549294448,0.504742183663086,0.578081334099229,394.019918674376,8694.86317048002,0.00156862144651726,0.875,"Arizona Mountains forests",5,50503,77,"Temperate Conifer Forests"
